VEHICLE_ID,MODEL_YEAR,UK_MODEL,NHTSA_MODEL,VEHICLE_DESCRIPTION,OVERALL_RATING,FRONT_CRASH_RATING,SIDE_CRASH_RATING,ROLLOVER_RATING,ROLLOVER_POSSIBILITY,COMPLAINTS_COUNT,RECALLS_COUNT,INVESTIGATION_COUNT,ELECTRONIC_STABILITY_CONTROL,FORWARD_COLLISION_WARNING,LANE_DEPARTURE_WARNING
11664,2017," CLA Class",CLA-CLASS,2017 Mercedes-Benz CLA-Class 4 DR 4WD,,,,,0,27,10,2,Standard,Optional,Optional
11663,2017," CLA Class",CLA-CLASS,2017 Mercedes-Benz CLA-Class 4 DR FWD,,,,,0,27,10,2,Standard,Optional,Optional
11666,2017," CLS Class",CLS-CLASS,2017 Mercedes-Benz CLS-Class 4 DR 4WD,,,,,0,2,1,1,Standard,Optional,Optional
11665,2017," CLS Class",CLS-CLASS,2017 Mercedes-Benz CLS-Class 4 DR RWD,,,,,0,2,1,1,Standard,Optional,Optional
11674,2017," E Class",E-CLASS,2017 Mercedes-Benz E-Class C 4WD,,,,,0,166,20,1,Standard,Optional,Optional
11673,2017," E Class",E-CLASS,2017 Mercedes-Benz E-Class C RWD,,,,,0,166,20,1,Standard,Optional,Optional
11672,2017," E Class",E-CLASS,2017 Mercedes-Benz E-CLASS SW 4WD,5,5,5,5,0.097,166,20,1,Standard,Standard,Optional
11671,2017," E Class",E-CLASS,2017 Mercedes-Benz E-CLASS SW RWD,5,5,5,5,0.097,166,20,1,Standard,Standard,Optional
11670,2017," E Class",E-CLASS,2017 Mercedes-Benz E-Class 4 DR RWD,5,5,5,5,0.097,166,20,1,Standard,Standard,Optional
11669,2017," E Class",E-CLASS,2017 Mercedes-Benz E-Class 4 DR 4WD,5,5,5,5,0.097,166,20,1,Standard,Standard,Optional
11668,2017," E Class",E-CLASS,2017 Mercedes-Benz E-Class 2 DR RWD,,,,,0,166,20,1,Standard,Optional,Optional
11667,2017," E Class",E-CLASS,2017 Mercedes-Benz E-Class 2 DR 4WD,,,,,0,166,20,1,Standard,Optional,Optional
11765,2017," G Class",G-CLASS,2017 Mercedes-Benz G-Class SUV AWD,,,,,0,4,4,0,Standard,No,No
11676,2017," GLA Class",GLA-CLASS,2017 Mercedes-Benz GLA-Class 4 DR FWD,,,,,0,33,9,2,Standard,Optional,Optional
11675,2017," GLA Class",GLA-CLASS,2017 Mercedes-Benz GLA-Class 4 DR 4WD,,,,,0,33,9,2,Standard,Optional,Optional
11678,2017," GLC Class",GLC-CLASS,2017 Mercedes-Benz GLC-Class SUV 4WD,,,,,0,115,12,2,Standard,Optional,Optional
11677,2017," GLC Class",GLC-CLASS,2017 Mercedes-Benz GLC-Class SUV RWD,,,,,0,115,12,2,Standard,Optional,Optional
11191,2017," GLE Class",GLE-CLASS,2017 Mercedes-Benz GLE-Class SUV 4WD,,,,4,0.179,74,12,2,Standard,Optional,Optional
11190,2017," GLE Class",GLE-CLASS,2017 Mercedes-Benz GLE-Class SUV RWD,,,,4,0.198,74,12,2,Standard,Optional,Optional
11685,2017," GLS Class",GLS-CLASS,2017 Mercedes-Benz GLS-Class SUV 4WD,,,,,0,41,10,0,Standard,Optional,Optional
11689,2017," S Class",S-CLASS,2017 Mercedes-Benz S-Class C RWD,,,,,0,22,10,2,Standard,Optional,Optional
11688,2017," S Class",S-CLASS,2017 Mercedes-Benz S-Class C 4WD,,,,,0,22,10,2,Standard,Optional,Optional
11687,2017," S Class",S-CLASS,2017 Mercedes-Benz S-Class 4 DR 4WD,,,,,0,22,10,2,Standard,Optional,Optional
11686,2017," S Class",S-CLASS,2017 Mercedes-Benz S-Class 4 DR RWD,,,,,0,22,10,2,Standard,Optional,Optional
11692,2017," SL CLASS",SL-CLASS,2017 Mercedes-Benz SL-Class C RWD,,,,,0,4,2,1,Standard,Optional,Optional
14058,2019," A Class",A-CLASS,2019 Mercedes-Benz A-Class 4 DR 4WD,,,,,0,44,14,1,Standard,Standard,Optional
14032,2019," A Class",A-CLASS,2019 Mercedes-Benz A-Class 4 DR FWD,,,,,0,45,14,1,Standard,Standard,Optional
15046,2019," C Class",C-CLASS,2019 Mercedes-Benz C-Class 4 DR 4WD,,4,,4,0.11,75,18,1,Standard,Standard,Optional
15042,2019," C Class",C-CLASS,2019 Mercedes-Benz C-Class 4 DR RWD,,4,,4,0.11,75,18,1,Standard,Standard,Optional
14060,2019," C Class",C-CLASS,2019 Mercedes-Benz C-Class 2 DR 4WD,,,,,0,75,18,1,Standard,Standard,Optional
14035,2019," C Class",C-CLASS,2019 Mercedes-Benz C-Class 2 DR RWD,,,,,0,75,18,1,Standard,Standard,Optional
14061,2019," CLA Class",CLA-CLASS,2019 Mercedes-Benz CLA-Class 4 DR 4WD,,,,,0,51,12,1,Standard,Optional,Optional
